,bri,car,fra,perm,por,x,y,label_kmeans,1st,ofm,label_pca,label_ofm
2488,0.085549341,-1.600016382,2.358918042,0.970330158,1.495560667,,,0,-0.021542202,-0.267832835,2,2
2489,0.081747087,-1.792195947,2.214562734,0.849384293,1.398961783,,,0,-0.037905504,-0.41220105,2,2
2490,0.078271893,-1.930461575,2.07019787,0.740458478,1.3166146,,,0,-0.053525479,-0.526089696,2,2
2491,0.07518288,-2.073332825,1.909800426,0.659272201,1.228653272,,,0,-0.070262142,-0.63563438,2,2
2492,0.072282588,-2.208177746,1.738144266,0.612616984,1.111772382,,,0,-0.08840626,-0.732934922,2,3
2493,0.069677588,-2.319010868,1.579483861,0.572003556,0.967426317,,,0,-0.106009378,-0.816344683,2,3
2494,0.066644839,-2.033820569,1.401293875,0.524232951,0.830169554,,,0,-0.123845042,-0.708040927,2,3
2495,0.063457656,-2.100781522,1.21946681,0.398435819,0.701154356,,,0,-0.143119464,-0.795934858,2,3
2496,0.059971907,-2.088549317,1.074964568,0.241295168,0.582294198,,,0,-0.159254241,-0.850604932,2,3
2497,0.056147705,-2.009292266,0.964584441,0.102200434,0.469522698,,,0,-0.172587326,-0.864153346,2,3
2498,0.052082972,-2.022481492,0.862183858,-0.020664799,0.36306283,,,0,-0.185574336,-0.917788909,2,3
2499,0.047728294,-2.081498967,0.761278547,-0.135178885,0.253036321,,,0,-0.198842554,-0.991611427,2,3
2500,0.043389537,-2.096347934,0.658506699,-0.241923198,0.135563942,,,0,-0.212274638,-1.041774172,2,3
2501,0.038491771,-2.079941416,0.546700485,-0.339365171,-0.002673416,,,0,-0.227117819,-1.075209046,2,3
2502,0.032989699,-1.955626371,0.429540432,-0.429358306,-0.223218626,,,2,-0.244433269,-1.056095141,2,3
2503,0.026936905,-1.919062812,0.2896802,-0.566674791,-0.488517087,,,2,-0.265280852,-1.097037381,2,3
2504,0.02125531,-1.88492631,0.125702008,-0.655693001,-0.759198067,,,2,-0.287823825,-1.127265861,2,3
2505,0.013383195,-2.026538562,-0.096913881,-0.7413334,-0.91251018,,,2,-0.313638005,-1.244819178,2,3
2506,0.004123071,-1.92532271,-0.384446981,-0.819463277,-0.956419169,,,2,-0.341550565,-1.242826191,2,3
2507,-0.008209752,-1.779782814,-0.690780661,-0.900069623,-1.003257224,,,2,-0.372549033,-1.221630329,2,3
2508,-0.022628707,-1.78520715,-0.975956413,-0.982869146,-1.037319287,,,2,-0.403297793,-1.273652922,2,3
2509,-0.037418153,-1.368044026,-1.178037747,-1.058568938,-1.076007868,,,2,-0.426653337,-1.108832803,2,3
2510,-0.051751269,-1.329514364,-1.326311042,-1.135447185,-1.149131238,,,2,-0.447811238,-1.127571226,2,3
2511,-0.066248386,-1.283177255,-1.441159202,-1.217534831,-1.182977951,,,2,-0.465507747,-1.14020668,2,3
2512,-0.079084539,-1.214488207,-1.532115659,-1.2512722,-1.416200114,,,2,-0.485390909,-1.13131354,2,3
2513,-0.090533501,-1.136915259,-1.606855909,-1.312816573,-1.474589096,,,2,-0.498821259,-1.119747037,2,3
2514,-0.100861279,-1.121651357,-1.669356262,-1.392114668,-1.528153492,,,2,-0.510802628,-1.142781801,2,3
2515,-0.109762209,-1.1114724,-1.72259297,-1.444540322,-1.585968587,,,2,-0.521364621,-1.159776524,2,3
2516,-0.11777397,-1,-1.761360356,-1.52148884,-1.630721141,,,2,-0.529694197,-1.13230623,2,3
2517,-0.124974331,-1.082065111,-1.805306011,-1.693969254,-1.701649289,,,2,-0.539409346,-1.228888519,3,3
2518,-0.13065151,-1,-1.83885829,-1.772332228,-1.732019932,,,2,-0.545763035,-1.215245207,3,3
2519,-0.136475311,-1.056883279,-1.876691124,-1.819655854,-1.815501365,,,2,-0.554294464,-1.262961203,3,3
2520,-0.142214127,-1,-1.914306412,-1.877944564,-1.905424392,,,2,-0.562562546,-1.257923107,3,3
2521,-0.146161229,-1.030853452,-1.930671695,-1.93687166,-1.880995866,,,2,-0.565591286,-1.291223439,3,3
2522,-0.151715455,-1.019570017,-1.936040012,-1.949838129,-2.032190928,,,2,-0.572956751,-1.29466599,3,3
2523,-0.156321751,-1,-1.996090388,-1.997158815,-1.984040299,,,2,-0.5788806,-1.302676698,3,3
2524,-0.161939291,-1,-2.03004318,-2.124706698,-2.066646876,,,2,-0.586906028,-1.345176247,3,3
2525,-0.167254035,-1,-2.010459069,-2.190910939,-2.161716239,,,2,-0.590929516,-1.365968596,3,3
2526,-0.183517405,-1,-2.038020308,-2.20475049,-2.331852642,,,2,-0.60652728,-1.378712631,3,3
2527,-0.186776059,-1.000000001,-2.078075739,-2.097152074,-2.443628283,,,2,-0.614090332,-1.354313738,3,3
2528,-0.186925089,-1,-2.101445009,-2.276995933,-2.382283781,,,2,-0.6146444,-1.406458609,3,3
2529,-0.195351061,-1,-2.110457306,-2.184057712,-2.524019949,,,2,-0.623546066,-1.385207835,3,3
2530,-0.196827383,-1,-2.125388001,-2.188367254,-2.552004077,,,2,-0.62622834,-1.388594091,3,3
2531,-0.201356792,-1,-2.12886908,-2.142415219,-2.539276158,,,2,-0.628651178,-1.375739792,3,3
2532,-0.207678737,-1,-2.14962382,-2.201186062,-2.623862841,,,2,-0.636023078,-1.39744063,3,3
2533,-0.208484185,-1,-2.186056823,-2.313100903,-2.743961917,,,2,-0.642460244,-1.43613825,3,3
2534,-0.218521877,-1,-2.211488812,-2.347748029,-2.677128606,,,2,-0.648386937,-1.447431186,3,3
2535,-0.2140433,-1,-2.24228206,-2.439789082,-2.75492007,,,2,-0.650315823,-1.478172905,3,3
2536,-0.226999156,-1.088393724,-2.242488034,-2.496271926,-2.825887455,,,2,-0.659807688,-1.541482414,3,3
2537,-0.231616017,-1.098375585,-2.263752889,-2.40577452,-2.75464992,,,2,-0.662107031,-1.520483032,3,3
2538,-0.235241404,-1.122464376,-2.173535938,-2.42780094,-2.734043989,,,2,-0.65689311,-1.531303744,3,3
2539,-0.24353764,-1.103619346,-2.124802415,-2.419788406,-2.748495371,,,2,-0.658160734,-1.51710421,3,3
2540,-0.241044527,-1,-2.227751732,-2.513760331,-2.762045427,,,2,-0.664700858,-1.501548983,3,3
2541,-0.227020517,-1,-2.224283877,-2.537032082,-2.898423537,,,2,-0.660051131,-1.51025424,3,3
2542,-0.225601662,-1,-2.255928108,-2.463950497,-2.916943572,,,2,-0.662018242,-1.492038544,3,3
2543,-0.220797197,-1,-2.251962087,-2.417552892,-2.928011812,,,2,-0.659227875,-1.478094325,3,3
2544,-0.213504051,-0.999999999,-2.238594516,-2.413093319,-2.952886583,,,2,-0.65473602,-1.475624024,3,3
2545,-0.217863729,-1,-2.280801003,-2.415235823,-2.951385814,,,2,-0.660355733,-1.480068517,3,3
